Kanton,Kantonsname,Jahr,Treibstoff,DATA_Inverkehrsetzung,DATA_Bestand,DATA_Bevölkerung_Vorjahr,DATA_Inverkehrsetzung pro 1000,DATA_Bestand pro 1000
AG,Aargau,2010,Anderer,37,324,611466.0,0.060510314555510855,0.5298741058374464
AG,Aargau,2010,Benzin,15862,280028,611466.0,25.940935391338193,457.961685522989
AG,Aargau,2010,Benzin-elektrisch: Normal-Hybrid,417,1521,611466.0,0.6819675991796764,2.487464552403568
AG,Aargau,2010,Benzin-elektrisch: Plug-in-Hybrid,1,1,611466.0,0.0016354139069056988,0.0016354139069056988
AG,Aargau,2010,Diesel,6413,56916,611466.0,10.487909384986246,93.08121792544476
AG,Aargau,2010,Diesel-elektrisch: Normal-Hybrid,0,0,611466.0,0.0,0.0
AG,Aargau,2010,Diesel-elektrisch: Plug-in-Hybrid,0,0,611466.0,0.0,0.0
AG,Aargau,2010,Elektrisch,12,19,611466.0,0.019624966882868387,0.031072864231208273
AG,Aargau,2010,Gas (mono- und bivalent),70,615,611466.0,0.11447897348339892,1.0057795527470046
AG,Aargau,2010,Ohne Motor,0,0,611466.0,0.0,0.0
AG,Aargau,2010,Wasserstoff,0,0,611466.0,0.0,0.0
AG,Aargau,2011,Anderer,26,340,611466.0,0.04252076157954817,0.5560407283479376
AG,Aargau,2011,Benzin,17137,280986,611466.0,28.02608812264296,459.5284120458047
AG,Aargau,2011,Benzin-elektrisch: Normal-Hybrid,521,1975,611466.0,0.852050645497869,3.229942466138755
AG,Aargau,2011,Benzin-elektrisch: Plug-in-Hybrid,2,3,611466.0,0.0032708278138113976,0.004906241720717097
AG,Aargau,2011,Diesel,8306,64085,611466.0,13.583747910758735,104.8055002240517
AG,Aargau,2011,Diesel-elektrisch: Normal-Hybrid,0,0,611466.0,0.0,0.0
AG,Aargau,2011,Diesel-elektrisch: Plug-in-Hybrid,0,0,611466.0,0.0,0.0
AG,Aargau,2011,Elektrisch,22,47,611466.0,0.03597910595192537,0.07686445362456784
AG,Aargau,2011,Gas (mono- und bivalent),63,681,611466.0,0.10303107613505903,1.113716870602781
AG,Aargau,2011,Ohne Motor,0,0,611466.0,0.0,0.0
AG,Aargau,2011,Wasserstoff,0,0,611466.0,0.0,0.0
AG,Aargau,2012,Anderer,19,375,618298.0,0.03072951877573597,0.6065036600474205
AG,Aargau,2012,Benzin,16034,280118,618298.0,25.93247916053424,453.0469126537689
AG,Aargau,2012,Benzin-elektrisch: Normal-Hybrid,521,2487,618298.0,0.8426357516925496,4.022332273434493
AG,Aargau,2012,Benzin-elektrisch: Plug-in-Hybrid,12,14,618298.0,0.019408117121517455,0.022642803308437032
AG,Aargau,2012,Diesel,9690,73240,618298.0,15.672054575625348,118.45420816499487
AG,Aargau,2012,Diesel-elektrisch: Normal-Hybrid,66,41,618298.0,0.106744644168346,0.06631106683185131
AG,Aargau,2012,Diesel-elektrisch: Plug-in-Hybrid,0,0,618298.0,0.0,0.0
AG,Aargau,2012,Elektrisch,77,104,618298.0,0.12453541819640367,0.16820368171981795
AG,Aargau,2012,Gas (mono- und bivalent),64,720,618298.0,0.10350995798142643,1.1644870272910472
AG,Aargau,2012,Ohne Motor,0,0,618298.0,0.0,0.0
AG,Aargau,2012,Wasserstoff,0,0,618298.0,0.0,0.0
AG,Aargau,2013,Anderer,12,397,627340.0,0.01912838333280199,0.6328306819268658
AG,Aargau,2013,Benzin,14282,278203,627340.0,22.765964229923167,443.46446902795935
AG,Aargau,2013,Benzin-elektrisch: Normal-Hybrid,576,3011,627340.0,0.9181623999744956,4.799630184588899
