Jahr;Kanton;Einwohner;Kanton_Kurz
1990;Aargau;496280;AG
1991;Aargau;506818;AG
1992;Aargau;511979;AG
1993;Aargau;518945;AG
1994;Aargau;523114;AG
1995;Aargau;528887;AG
1996;Aargau;531665;AG
1997;Aargau;534028;AG
1998;Aargau;536462;AG
1999;Aargau;540639;AG
2000;Aargau;544306;AG
2001;Aargau;550298;AG
2002;Aargau;555782;AG
2003;Aargau;560674;AG
2004;Aargau;565122;AG
2005;Aargau;569344;AG
2006;Aargau;574813;AG
2007;Aargau;581562;AG
2008;Aargau;591632;AG
2009;Aargau;600040;AG
2010;Aargau;611466;AG
2011;Aargau;618298;AG
2012;Aargau;627340;AG
2013;Aargau;636362;AG
2014;Aargau;645277;AG
2015;Aargau;653675;AG
2016;Aargau;663462;AG
2017;Aargau;670988;AG
2018;Aargau;678207;AG
2019;Aargau;685845;AG
2020;Aargau;694072;AG
2021;Aargau;703086;AG
2022;Aargau;711232;AG
2023;Aargau;726894;AG
2024;Aargau;733592;AG
1990;Appenzell A. Rh.;51470;AR
1991;Appenzell A. Rh.;52437;AR
1992;Appenzell A. Rh.;53449;AR
1993;Appenzell A. Rh.;54087;AR
1994;Appenzell A. Rh.;54227;AR
1995;Appenzell A. Rh.;54104;AR
1996;Appenzell A. Rh.;54136;AR
1997;Appenzell A. Rh.;54011;AR
1998;Appenzell A. Rh.;53816;AR
1999;Appenzell A. Rh.;53737;AR
2000;Appenzell A. Rh.;53515;AR
2001;Appenzell A. Rh.;53138;AR
2002;Appenzell A. Rh.;53097;AR
2003;Appenzell A. Rh.;52976;AR
2004;Appenzell A. Rh.;52841;AR
2005;Appenzell A. Rh.;52561;AR
2006;Appenzell A. Rh.;52509;AR
2007;Appenzell A. Rh.;52654;AR
2008;Appenzell A. Rh.;53054;AR
2009;Appenzell A. Rh.;53043;AR
2010;Appenzell A. Rh.;53017;AR
2011;Appenzell A. Rh.;53313;AR
2012;Appenzell A. Rh.;53438;AR
2013;Appenzell A. Rh.;53691;AR
2014;Appenzell A. Rh.;54064;AR
2015;Appenzell A. Rh.;54543;AR
2016;Appenzell A. Rh.;54954;AR
2017;Appenzell A. Rh.;55178;AR
2018;Appenzell A. Rh.;55234;AR
2019;Appenzell A. Rh.;55445;AR
2020;Appenzell A. Rh.;55309;AR
2021;Appenzell A. Rh.;55585;AR
2022;Appenzell A. Rh.;55759;AR
2023;Appenzell A. Rh.;56495;AR
2024;Appenzell A. Rh.;56703;AR
1990;Appenzell I. Rh.;13573;AI
1991;Appenzell I. Rh.;14251;AI
1992;Appenzell I. Rh.;14548;AI
1993;Appenzell I. Rh.;14680;AI
1994;Appenzell I. Rh.;14742;AI
1995;Appenzell I. Rh.;14750;AI
1996;Appenzell I. Rh.;14833;AI
1997;Appenzell I. Rh.;14887;AI
1998;Appenzell I. Rh.;14873;AI
1999;Appenzell I. Rh.;14946;AI
2000;Appenzell I. Rh.;15021;AI
2001;Appenzell I. Rh.;14977;AI
2002;Appenzell I. Rh.;14985;AI
2003;Appenzell I. Rh.;15010;AI
2004;Appenzell I. Rh.;15029;AI
2005;Appenzell I. Rh.;15220;AI
2006;Appenzell I. Rh.;15300;AI
2007;Appenzell I. Rh.;15471;AI
2008;Appenzell I. Rh.;15549;AI
2009;Appenzell I. Rh.;15681;AI
2010;Appenzell I. Rh.;15688;AI
2011;Appenzell I. Rh.;15743;AI
2012;Appenzell I. Rh.;15717;AI
